hydroname,year,month,viv,fal,pob,pc1_clim,pc2_clim,pc3_clim,pc4_clim,pc1_hidr,pc2_hidr,pc3_hidr,pc4_hidr,pc1_veg,pc2_veg,pc3_veg,predicted_fal_rf,predicted_viv_rf,residual_fal_rf,residual_viv_rf,predicted_fal_xgb,predicted_viv_xgb,residual_fal_xgb,residual_viv_xgb,predicted_fal_svm,predicted_viv_svm,residual_fal_svm,residual_viv_svm
Hydro4,2015,11,286,72,189,1.2360819233180012,-0.02430569144925536,0.5492135564306054,0.17396117205186012,-0.6830332192999692,0.47444582244560973,-0.1312225375365446,0.49050206502795346,-0.3645624297902119,1.1109197806827822,-0.30912747648090255,65,306,7,-20,45,286,27,0,40,258,32,28
Hydro4,2015,12,321,124,189,1.2588296147243618,0.5037740858112536,1.6648026018408022,1.3970524164616271,0.5818558939284256,0.8178780525300955,-0.07345811075424469,0.4887307724019341,-0.904695971646878,0.49246265442350173,-0.5864929970392312,76,328,48,-7,63,321,61,0,60,299,64,22
Hydro4,2016,1,326,83,189,-0.0882030444870544,-0.8371272396631072,1.753797494145117,0.2965987111309053,2.285943204098547,2.029559824136913,0.15433960537786284,0.3151367509068109,-0.5309489388461545,0.7884743642833352,-0.5292049095991609,66,282,17,44,52,326,31,0,75,304,8,22
Hydro4,2016,2,248,77,189,1.1856364203679246,0.7051090620333309,2.3069703064327984,0.5975220451424175,-1.2707166098490004,-0.3335394890876027,-0.8087057913303018,-0.0770931246737892,-1.1100777923182736,0.44182349121557063,-0.05758403067531969,66,233,11,15,57,248,20,0,76,270,1,-22
Hydro4,2016,3,398,119,189,1.108568756809195,1.8393194590599904,1.2858452989733378,-0.3706117411716238,-2.044037999013088,0.5607591116331833,-0.2975893914411537,0.4001791540602108,-3.2229416400419204,-0.5865286122433311,2.0077564252372415,96,275,23,123,96,343,23,55,112,314,7,84
Hydro4,2016,4,458,111,189,1.3973710121987983,2.424488536662162,1.1163863621300758,-0.27426574438753726,-2.6026565876110106,0.5512304016278398,-0.25662619692248245,0.5113521047980437,-2.7969273001879853,-0.9290568070020444,-0.06268165375114881,99,396,12,62,90,458,21,0,92,363,19,95
Hydro4,2016,5,302,70,189,2.332876260968978,1.8262830838968385,0.4542444981975532,-1.0750740281497588,-1.6233125470510634,-0.2820719869345229,-0.514718795518235,0.303563521299109,-3.067286896477929,-1.1594869137333057,-0.12521445946769805,71,309,-1,-7,76,302,-6,0,90,319,-20,-17
Hydro4,2016,6,346,135,189,3.098966598606418,2.0750836821433905,-0.4335575015253038,0.12199271165273733,-2.789725070519419,-0.693661205097353,-0.832079210694775,0.08374232086252287,-2.611995897466296,-0.5450706369783681,0.5892867720369576,108,378,27,-32,106,346,29,0,97,368,38,-22
Hydro4,2016,7,473,78,189,2.5008966292655233,1.1639251621074715,-0.8294581939213764,0.1548453284853968,-1.6393102422767096,0.17362469878050094,-0.39441212583787294,0.3725067872372423,-1.2415760339865125,0.493820271929268,0.3085554587263628,75,421,3,52,78,473,0,0,85,422,-7,51
Hydro4,2016,8,304,75,189,1.6475809445361569,0.03486079073888399,0.33672965322826676,0.6725290938146259,0.8459385557972626,1.2504196624171071,0.1005968344914312,0.6795758287125713,0.09048866621567613,1.499772001310228,0.08390042150896146,81,364,-6,-60,66,304,9,0,86,413,-11,-109
Hydro4,2016,9,362,76,189,1.5854883011171408,0.31991172672454876,1.6170118448305029,1.2622178326533782,-0.3519072610145228,1.8529045120007237,0.3035169490968891,0.6978991092840714,0.6200035367018631,2.010695999734905,0.01976839709738996,76,413,0,-51,79,362,-3,0,106,527,-30,-165
Hydro4,2016,10,398,98,189,1.3429166701112485,0.6936260767957675,1.0490088117156269,0.7802386655239442,-0.5500939879264486,0.8451265351851909,-0.17233715206195688,0.5952655191526233,0.3480954552394735,1.6015004699322284,-0.763548738126451,85,390,13,8,72,398,26,0,70,389,28,9
