hydroname,year,month,viv,fal,pob,pc1_clim,pc2_clim,pc3_clim,pc4_clim,pc5_clim,pc1_hidr,pc2_hidr,pc3_hidr,pc4_hidr,pc1_veg,pc2_veg,predicted_fal_rf,predicted_viv_rf,residual_fal_rf,residual_viv_rf,predicted_fal_xgb,predicted_viv_xgb,residual_fal_xgb,residual_viv_xgb,predicted_fal_svm,predicted_viv_svm,residual_fal_svm,residual_viv_svm
Hydro23,2014,10,45,1,110,0.48681136729874874,0.6748685168354528,0.3052639813688146,0.9286359628252204,0.6599152044460131,0.5547877903761427,2.499043932580802,-0.6184963071352703,-0.7827298949209995,3.3322622735366956,-0.12826527227055456,27,95,-26,-50,18,45,-17,0,9,76,-8,-31
Hydro23,2014,11,23,2,110,0.24726565478282825,0.1577791848507175,-0.22760084958028096,1.9171374514286217,0.4958213209496648,-1.2407357500747265,0.8782263875746856,-0.00403202082618564,-0.26730963719695466,2.336211664430116,-0.8616967976134109,19,52,-17,-29,18,24,-16,-1,7,35,-5,-12
Hydro23,2014,12,22,0,110,0.0674181938628144,0.5259925052838526,-0.2852240927559439,2.13848026484221,0.523856137418751,-0.7809746818938745,1.774274703223075,-0.35680632155988434,-0.4088557292064913,1.8949748080473805,-1.5977917831413029,17,65,-17,-43,22,24,-22,-2,5,36,-5,-14
Hydro23,2015,1,30,0,110,-1.4808330698602126,0.229584541913996,-0.7909910603268766,0.9349906240890896,-0.13876968364262923,0.6904333038008355,0.6985300384123158,-0.09511071684916345,-0.541995558508604,0.19529245703234532,-2.0785685382503947,19,52,-19,-22,9,30,-9,0,9,71,-9,-41
Hydro23,2015,2,63,12,110,-0.35646327961891044,0.1548222656281658,-0.20499956277472012,1.3467919130279764,-0.7678448925512026,-0.5554270538311844,-0.4593724744581336,0.3064462627865025,-0.13963571853980652,0.326154352679194,-2.2402638204189405,11,51,1,12,4,57,8,6,4,20,8,43
Hydro23,2015,3,41,11,110,-0.4634470969254657,0.3559567176483355,-2.164340941354826,1.1342342089015105,-1.6271221670376277,2.18716467780001,1.3985342712929882,-0.3860186138945175,-0.9100250553733868,-0.3313603780599561,-2.4274320643622693,28,61,-17,-20,21,42,-10,-1,16,86,-5,-45
Hydro23,2015,4,18,1,110,-1.4177645365338372,0.21145463484684535,-2.4257538765703885,1.1483767197475674,-1.877993346078341,2.0118650777954845,-0.5396183697167694,0.28991654045480864,-0.701732284924139,-0.6992686198826681,-2.585728400612972,17,45,-16,-27,-2,18,3,0,6,62,-5,-44
Hydro23,2015,5,22,1,110,-0.7895108485783187,-0.26985789807879107,-0.8145309263970324,0.2436694030248143,-0.27032880871663684,4.318116062037286,1.8064850202455245,-0.4965436145874559,-1.4968119734307783,0.5914309115251003,-2.425584340745338,23,64,-22,-42,6,22,-5,0,6,76,-5,-54
Hydro23,2015,6,19,0,110,-2.130111514235801,-0.9403676257140654,-0.0746332826134227,-0.14135871024964863,-0.05174539919731089,4.443862576095963,0.49329904764573385,0.08060981870305423,-1.551810903267974,1.131199252785132,-1.8034757237991843,15,17,-15,2,8,20,-8,-1,5,29,-5,-10
Hydro23,2015,7,44,2,110,-1.8065247387639525,-0.959762595338028,0.16361466883648557,-0.3535039849151128,0.4763733814024569,2.280760698594767,1.0099841781686398,0.2784227478871144,-1.507869501790291,2.1395892750148606,-0.8110288208211471,42,37,-40,7,17,42,-15,2,22,58,-20,-14
